id,name,category,license,cost_model,auth_type,production_readiness,primary_use_case,rate_limit_guidance,verified_in_2026
mcp-pro-01,PostgreSQL Enterprise MCP,Database & Storage,MIT,Self-Hosted / $0,OAuth2 / Connection String,High,"Full ACID persistence, complex relational joins, schema inspection, vector extensions (pgvector).",Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-02,ClickHouse Analytical MCP,Database & Analytics,Apache-2.0,Self-Hosted / Cloud,Basic Auth / Token,High,"Columnar event analytics, high-throughput log inspection for multi-agent audits.",Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-03,Supabase Postgres & Auth MCP,Database & BaaS,MIT,"Free tier, then $25/mo",API Key / Service Role,High,"Managed Postgres, Row Level Security, instant real-time websocket subscriptions.",Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-04,Redis Cache & PubSub MCP,Caching & Message Broker,BSD-3-Clause,Self-Hosted / $0,Password / TLS,High,"Sub-millisecond state caching, distributed locks for agent workers, task queues.",Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-05,Brave Search API Wrapper,Search & Discovery,Proprietary,"Free 2,000 req/mo",API Key,High,"Zero-ad bias search grounding, privacy-first web index.",Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-06,Tavily AI Search Engine MCP,Search & LLM RAG,Proprietary,"1,000 credits free, then $0.005/req",API Key,High,LLM-optimized search extraction returning concise cleaned text snippets.,Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-07,Exa.ai Neural Search MCP,Semantic Search,Proprietary,$10/mo starter,Bearer Token,High,Embedding-based web search finding semantically similar research papers and code repos.,Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-08,Puppeteer / Playwright Headless Browser MCP,Web Scraping,Apache-2.0,Self-Hosted / $0,Local Subprocess,High,"Headless browser automation, full JS rendering, session capture, screenshot generation.",Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-09,Crawl4AI Lightweight Web Scraper MCP,Web Scraping,Apache-2.0,Free / Open-Source,Local Python API,High,High-speed markdown and structured JSON extractor designed for agent context.,Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-10,GitHub REST & GraphQL MCP,Developer Tools,MIT,Free for public/private,PAT / OAuth,High,"Autonomous pull request reviews, repository management, issue assignment, diffing.",Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-11,GitLab CI/CD & DevOps MCP,Developer Tools,MIT,Free tier,Private Token,High,"Pipeline triggering, merge request automation, artifact inspection.",Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-12,Sentry Issue & Telemetry MCP,Monitoring & Error Tracking,Proprietary,Free Developer Tier,Auth Token,High,"Real-time exception grouping, stacktrace inspection, agent auto-bugfix dispatch.",Varies by tier; local instances have no artificial rate limit.,True
